aiddata_id	donor	sector	title	short_description	long_description	aiddata_activity_code	codeRule_characterLength
2411262	African Development Bank (AFDB)		SIAT Gabon Agricultural Expansion Project		Objective: Promote industrial production of oil palm and rubber and contribute to economic growth and  poverty reduction.  Expected Outcomes: Achievement of rehabilitation and expansion of agricultural estates (palm oil and  rubber). Increased fiscal revenue, direct business opportunities, and employment generation. Increased  agricultural sector contribution to exports (by over € 10.5 million per annum) and GDP (by over €20.0  million per annum over most of the project life). Expansion of local infrastructure (roads, schools, clinics,  water supply, and electricity).	23020.01|21020.02|11120.05|14020.01|31120.07|32120.06 	622
635662	African Development Bank (AFDB)		Ras-Djebel Galaat Irrigation	<br>	The project aims at boosting the production of major food items such as cereals, milk, meat, fruits and vegetables and to reduce the country's food shortfalls. The project involves the development and cultivation of 7185 hectares of land, irrigation works, design, inspection and supervision. Co-financing (UA 16.38 million) was provided by KFW and the ADB loan will be used to finance about 59 per cent of the foreign exchange cost of the project.	31140.02|31120.06 	483
2410424	African Development Bank (AFDB)		Particle Board Manufacturing (BMK Ltd.)		The objective of the project is to install a particle  board processing plant in Takoradi. It involves recycling  wood-waste generated by Ghana Primewood  Products to produce three-layer particle-boards for a  total volume of 15,000 m3 per year. The investment  consists primarily of the acquisition of a used production  plant which will be purchased on a turnkey contract  from a firm specialized in reconditioning secondhand  particle-board equipment. The benefits of the  project include the creation of 110 additional jobs and  increasing the value-added of wood waste. The project  is co-financed by IFC (UA0.72 million), DEG  (UA 1.26 million), Barclays Bank (UA0.42 million) and  various other companies. The ADB loan accounts for  21.4 per cent of the project cost.	32120.07 	816
1964648	African Development Bank (AFDB)		Banjul-Serrekunda Highway		The project aims at increasing the capacity of the Banjul-Serrekunda road.  It involves the updating of the existing study, the construction and lighting of an 11.6 km dual carriageway connecting Banjul and Serrekunda and consultancy and supervision of works.  The project is co-financed with Saudi Fund.	21020.02 	332
92260680	African Development Bank (AFDB)		National Development Bank of Sierra Leone	<br>	In April 1967, the Board of Directors approved in principle that the Bank invest up to US$ 120,000 in the equity capital of the proposed National Development Bank of Sierra Leone. The new Bank will have an equity of capital of US$ 700,000 and its objects will primarily be oriented towards the development of small enterprises. A few overseas financial institutions have also been invited to participate in the equity capital of the Bank. Arrangements for the establishment of the new bank are in the hands of a steering committee appointed by the Government of Sierra Leone and it is expected that the bank will be incorporated during the first half of 1968.	25010.08|24005.01 	707
2410406	African Development Bank (AFDB)		Electricity V		The main aim of the project is the electrification of rural areas in the country in order to supply electric power to 50,000 inhabitants and 730 pumping units, thereby assisting in, and developing farms and irrigation schemes and improving the welfare and living conditions of the rural population. The project will also make it possible to increase electrification rates from 47 per cent to 65 per cent in the rural areas, and from 81 per cent to 87 per cent nationwide. It involves: (i) extension of the low voltage (LV) network through the construction of 1,700 lkm of 30 kV overhead cables; (ii) construction of 2,050 medium/low voltage transformer sub-stations; (iii) construction of 3,300 km LV lines; (iv) laying of 50,730 consumer supply lines; and  (v) procurement of operating and consumer management  equipment. The ADB loan will be used to finance 53.3 per cent of the total cost of the project.	23040.03|23040.01 	923
1965326	African Development Bank (AFDB)		Education III		The project aims at widening the educational spectrum and at reducing educational inequalities across all age groups, with a view to satisfying national human resource needs and providing more support for social and economic development. The project involves construction and civil works, provision of technical services, equipment and materials for educational institutions at the secondary and university levels. ADF provided co-financing and the ADB loan will be used to finance 63.0 per cent of the foreign exchange cost of the project.	11420.05|11420.03|11320.05|11320.03 	556
2411041	African Development Bank (AFDB)		Sidi Bel Abbes Drinkable Water Supply Project		Implemented over a 4-year period, this project ensures uninterrupted potable water supply to Sidi Bel Abbes. Oran, and the cities situated along the water mains. Regularly available potable water will reduce water-borne diseases in particular. The project will be financed by ADB and the government of Algeria: the ADB loan amounts to US$ 70.04 million or 62 per cent of total project costs.	14020.01|14020.04 	439
635691	African Development Bank (AFDB)		ONPTZ Institutional Support and Kinshasa Telecommunications Network Rehabilitation Project		The project seeks to set up efficient management in the Postal Services and Telecommunications sector as well as secure for the sector a minimum of reliable means of communication to pursue the rehabilitation of the installations in the city of Kinshasa. These objectives will be achieved through the provision of technical assistance for organizational, accounting and financial adjustment; the setting up of an efficient structure; improved maintenance and work supervision; the training of Office National des Postes et Telecommunications du Zaire (ONPTZ) agents; the provision of maintenance logistics; the procurement and installation of a new telex exchange, a new earth station, new cable networks and subscriber equipment. The ADB loan will be used to finance 100 percent of the foreign exchange cost.	22020.04|22020.01|22010.04 	902
635617	African Development Bank (AFDB)		Improvement of the Quality of Education Phase I		The project is intended to raise the performance of primary education and improve the working conditions of primary teachers and their pupils by increasing the number of classes and strengthening the planning and inspection capacities.  The project, which will be implemented over thirty months, comprises the following three components: (i) construction of primary school classrooms; (ii) retraining of primary school teachers and (iii) strengthening the institutional capacities of the Directorate of the Ministry of National Education and Primary Education Inspection.  The ADB loan will be used to finance 100 per cent of the foreign exchange cost.	11220.06|11110.04|11220.03 	702
1099040	African Development Bank (AFDB)		Marine Personnel Training Project		The project aims at establishing and equipping a marine academy with an enrollment capacity of 260 trainees and students and an annual turnout of 15 deep-sea masters, 17 officers and 30 ratings. The academy, when operational, will assist French-speaking countries in the region to partially overcome shortage of trained manpower which is one of the major obstacles impeding maritime transport development in West and Central Africa. Co-financiers of the project are EDF (UA 1.619 million) and Norway (UA 0.047 million). The ADB loan will be used to finance 87.0 percent of the foreign exchange cost and 41.0 per cent of the local cost of the project.	21081.01|21040.01 	686
2411208	African Development Bank (AFDB)		Participation in the Third Capital Increase of Africa Reinsurance Corporation (Africa-Re)		The Bank has been instrumental in creating and launching a profitable pan-African insurance company, professionally managed and with a strong balance sheet. With the new investment, the Bank will support the Company in the expansion of its activities. The Bank’s participation will contribute to the strengthening of the capital base of Africa-Re, and this capital-raising exercise  will increase its underwriting capacity. Furthermore, the proposed investment will allow the Bank to retain its shareholding at the current 8 percent, and therefore, its seat on the Board.	24030.01 	665
2410916	African Development Bank (AFDB)		Economic and Financial Reforms Strengthening Programme		The programme seeks to put in place an institutional and regulatory framework that can support an efficient, equitable and growth-oriented economy. To achieve this objective, the programme aims at: i) the consolidation of government finances; ii) the pursuit of trade liberalization; iii) deepening financial sector reforms; iv) reactivating the private sector; and v) strengthening the social dimensions of the programme. The programme will be cofinanced by the World Bank (UA 57.00 million), Japan (UA 43.00  million), Germany (UA 4.00 million) and EU (UA 14.00 million). The ADB loan will be used to finance eligible imports and goods and services of public and private enterprises established in Tunisia.	15120.02|24010.02|33110.02|16010.06|53040.03|25010.08|15110.05 	765
2411045	African Development Bank (AFDB)		Public Enterprise Restructuring/Privatization Program		This program aims to create the regulatory framework for the promotion of private sector development, transfer public enterprises and government shareholdings in commercial enterprises to the private sector, while minimizing the adverse impacts of privatization. The project will be implemented over a period of 4 years. It is co-financed by the ADB (47 per cent), the  World Bank (28 per cent), and the Government of the Republic of Gabon (25 per cent).	25020.01 	510
635635	African Development Bank (AFDB)		Nata-Maun Road		The aim of the project is to provide a reliable, safe, all-weather road linking the eastern part of Botswana with the north-western district, including the Okavango Delta, and to reduce road-maintenance and vehicle-operating costs. Co-financiers are the Kuwait Fund for Arab Economic Development, the Saudi Development Fund,and the OPEC Fund, which are contributing UA 9.45 million, UA 4.75 million, and UA 1.06 million respectively. The ADB loan will be used to finance 32.5 per cent of the foreign exchange cost.	21020.02 	531
2389571	African Development Bank (AFDB)		Emergency Assistance for the Restoration of Damages		The Bank’s assistance will help alleviate the suffering of victims of the December 2004 Tsunami in the Seychelles. It will contribute to the repair of road infrastructure and schools, and to the purchase of replacement fishing equipment for victims.	73010.02|73010.01 	305
635851	African Development Bank (AFDB)		SNCZ Rehabilitation Project		The project aims at meeting SNCZ' s (Societe Nationale des Chemins de Fer Zairois) most urgent requirements so as to enable it re-establish the normal operating level of its network and its rolling stock. SNCZ manages the most important link, though in a poor state, of the railway transport chain making up the voie nationale; it also undertakes the transportation of inputs and other materials used in the various factories of GECAMINES, the country's principal mining company, as well as consumer goods for Shaba. The project involves the replacement of railway lines; the procurement of the wagons, spare parts for the rehabilitation of existing wagons and for locomotives; procurement of telecommunication equipment and the improvement of the data processing system; and the procurement of surgical and X-ray equipment, technical assistance and studies. Co-financiers of  the project are Belgium (UA 5.19 million), CCCE (UA 5.76million), KfW- (UA 2.67 million) and IDA (UA 29.24million). The ADB loan will be used to finance 24.3 percent of the foreign exchange cost of the project.	21030.01|22020.01|12191.04|21030.02 	1117
635680	African Development Bank (AFDB)		Water Supply Project		The project aims at providing potable water to the population located in certain rural service centers within the communal lands by abstracting water from underground aquifers, rivers and springs, treating it where necessary, and distributing it within the centers. The project involves, among other things,the construction of treatment works, the provision of pumping stations, water storage tanks, and reservoirs. Co-financing was provided by the ADF and the ADB loan will be used to finance 76.7 per cent of the foreign exchange cost and 31.3 per cent of the local cost of the project.	14020.04|14020.05|14040.04 	611
2413511	African Development Bank (AFDB)		Sizth Line of Credit to the Banque pour le development economique de la Tunisie		The granting of a line of credit to the Banque pour le development economique de la Tunisiex (BDET) will allow this bank to finance the rehabilitation, extension and establishment of small - and medium-scale enterprises in the industry and tourism sectors. It will also help to consolidate the bank's investment capital, so as to enable it to pursue the Eighth Plan's objectives for the industry and tourism sectors. The line of credit will be used specifically to finance the foreign exchange cost of projects in the target sectors. 	32191.03|25010.08|33210.01|24030.03|32130.01 	616
2411250	African Development Bank (AFDB)		Social Fund for Development of Micro & Small Enterprises Support		Objective: Create sustainable jobs and increase income-generating opportunities for the working poor. The project includes a line of credit to provide loans to commercially viable micro- and small enterprises  (MSEs) and technical assistance to develop and enhance key business skills in MSEs. Expected outcomes: Creation of a business and regulatory framework that is conducive for MSE growth and development; improved institutional capacity of SFD and financial intermediaries for MSE financing; increase in number of MSEs with access to financing from 10 % to at least 35 % in 2011.  Cofinanciers: Government (UA 0.04 million).	25010.08|25010.03 	697
40831871	African Development Bank (AFDB)		Blaise Diagne International Airport	<br>	"<span style=""font-weight: bold;"">Objective: </span><br>To provide a state-of-art airport that will enable Dakar to meet the growing air-traffic volume. <span style=""font-weight: bold;"">Expected Outcomes: </span><br>(i) Increase in the efficiency and competitiveness of Dakar’s main airport; (ii) living environment of the population and families living near the old airport improves: 95 decibels decrease in the surroundings of the current airport area after its closure; (iii) increase in the number of airlines flying to Dakar; and (iv) creation of a regional transportation hub.<br>"	21050.02 	635
2410584	African Development Bank (AFDB)		The construction of a bridge on the lnkisi River at Kisantu		The project comprises the execution of ail civil engineering works required for the construction of a new road bridge on the lnkisi river at Kisantu as well as the consultancy services for the supervision of the construction works. The loan will finance the whole of the foreign exchange cost of the overall tax-free  cost of the project.	21020.02 	400
