aiddata_id	donor	sector	title	short_description	long_description	aiddata_activity_code	codeRule_characterLength
3007087	World Bank - International Finance Corporation (IFC)		Greenfield integrated pig rearing and slaughtering operation, will produce hogs and carcasses for sale in the local market.			32120.06 	126
3010762	World Bank - International Finance Corporation (IFC)		Fan Milk-CI will establish a factory to produce yogurt, ice cream and other products from imported milk powder and other reconstituted raw materials	<br>	<br>	32120.06 	159
3006861	World Bank - International Finance Corporation (IFC)		Will be established to target housing finance needs.			16030.02|16030.01 	55
3006986	World Bank - International Finance Corporation (IFC)		Fras-le S.A., a leading manufacturer of friction materials for motor vehicle brakes, will improve its financial structure and expand production capacity.			32120.17 	156
3010090	World Bank - International Finance Corporation (IFC)		Cornerstone College	<br>	<br>	11420.01 	30
3005032	World Bank - International Finance Corporation (IFC)		Upgrade and expand production facilities at food productoin subsidiaries			32120.06|32120.02|32120.03|31120.06 	75
3006158	World Bank - International Finance Corporation (IFC)		Build a bulk cement terminal in the port of Toamasina			32120.11|32120.03 	56
3007314	World Bank - International Finance Corporation (IFC)		Apolo Produtos de Ato SA	<br>	<br>	25010.01 	35
3004703	World Bank - International Finance Corporation (IFC)		Tourism			33210.01 	10
3010188	World Bank - International Finance Corporation (IFC)		Telecommunications	<br>	<br>	22020.01 	29
3006069	World Bank - International Finance Corporation (IFC)		Long term credit line facilities to private sector commercial bank for onlending to local SMEs in the private sector			24030.03|25010.08 	119
3005371	World Bank - International Finance Corporation (IFC)		Build a 5-star hotel			33210.02 	23
3006275	World Bank - International Finance Corporation (IFC)		Petrochemical producer, will be able to refinance about $35 million of short-term debt with IFC support.			32120.09 	107
3005765	World Bank - International Finance Corporation (IFC)		Building a conference center			25010.04 	31
3009813	World Bank - International Finance Corporation (IFC)		Rehabilitate the assets and business of a tannery which is being privatized	<br>	<br>	25020.01|32120.08|32110.01 	86
3010585	World Bank - International Finance Corporation (IFC)		IT Worx	<br>	<br>	22040.01 	18
3007053	World Bank - International Finance Corporation (IFC)		Medical Systems Finance Holdings Limited is a joint venture that will engage in cross-border leasing of medical diagnostic imaging equipment and therapeutic systems to private hospitals, clinics, and physician groups throughout Latin America.			12191.03|12191.04 	245
3005300	World Bank - International Finance Corporation (IFC)		Placement of the first equity issue in Tata Electric Companies			23005.01 	65
3005023	World Bank - International Finance Corporation (IFC)		Venture capital			24030.01 	18
3006588	World Bank - International Finance Corporation (IFC)		Distel Holding S.A.			99810.01 	22
3007378	World Bank - International Finance Corporation (IFC)		Industrias Innopack S.A. de C.V., a medium-size company that manufactures one-way PET bottles and caps for domestic soft drinks and bottled water industries, will undertake expansion and financial restructuring program.	<br>	<br>	32120.02|32120.09|32120.01|32191.03 	230
3005333	World Bank - International Finance Corporation (IFC)		Structure new investment management company			24030.01 	46
3010091	World Bank - International Finance Corporation (IFC)		Cosmo Films Ltd.	<br>	<br>	25010.08|25010.01 	27
3005595	World Bank - International Finance Corporation (IFC)		Food and food processing			32120.06 	27
3004888	World Bank - International Finance Corporation (IFC)		Expand and modernize basic wireline and cellular telecom network			22010.03|22020.02|22020.01 	67
3010229	World Bank - International Finance Corporation (IFC)		Commercial Bank DeltaCredit	<br>	<br>	24030.02|24030.01 	38
3009999	World Bank - International Finance Corporation (IFC)		PriceSmart Inc.	<br>	<br>	25010.08 	26
3006590	World Bank - International Finance Corporation (IFC)		Dreamland Towers			33210.01 	19
3010026	World Bank - International Finance Corporation (IFC)		Finance cement plant expansion	<br>	<br>	32120.03|32120.11|32191.03 	41
3005440	World Bank - International Finance Corporation (IFC)		Timber, pulp and paper			32120.07 	25
3005412	World Bank - International Finance Corporation (IFC)		Modernize and expand the manufacturing operations of the leading producer of automotive engine blocks and casings			32120.17|32120.02 	116
3005481	World Bank - International Finance Corporation (IFC)		Construction of a 200 room beach resort hotel			33210.02 	48
