aiddata_id	donor	sector	title	short_description	long_description	aiddata_activity_code	codeRule_characterLength
21479983	Germany	I.1.b. Basic Education	STABILITY PACT FOR SOUTH EASTERN EUROPE	STABILITY PACT FOR SOUTH EASTERN EUROPE		15205.01 	81
37337565	Spain	I.1.c. Secondary Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
23632250	Austria	I.1.a. Education, Level Unspecified	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
21499859	Germany	I.1.c. Secondary Education	INTEGRATED SPECIALIST	INTEGRATED SPECIALIST		99810.01 	45
34168911	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES	TC AGGREGATED ACTIVITIES	99810.01 	51
23017468	Japan	I.1.c. Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
96975676	United States	I.1.b. Basic Education	Basic Education	BASIC EDUCATION	Improve early childhood education, primary education, and secondary education, delivered in formal or non-formal settings. It includes literacy, numeracy, and other basic skills programs for youth and adults. [through Government of Djibouti]	11230.03|11240.02|11220.04|11320.04 	274
27492765	Austria	I.1.a. Education, Level Unspecified	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
23589698	Austria	I.1.d. Post-Secondary Education	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
17356921	Germany	I.1.a. Education, Level Unspecified		GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01 	35
23087994	Japan	I.1.d. Post-Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
23151715	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
17594521	Norway	I.1.c. Secondary Education	PEACE CORPS PERSONELL EXCHANGE	PEACE CORPS PERSONNEL EXCHANGE		15150.01 	63
30046568	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES	TC AGGREGATED ACTIVITIES	99810.01 	51
23148302	Japan	I.1.b. Basic Education		TC AGGREGATED ACTIVITIES		99810.01 	27
21524003	Germany	I.1.a. Education, Level Unspecified	FEDERAL STATES CONTRIBUTIONS	FEDERAL STATES CONTRIBUTIONS		99810.01 	59
22971817	Japan	I.1.c. Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
17317335	Germany	I.1.c. Secondary Education		GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01 	35
96857238	United States	I.1.b. Basic Education	Basic Education	BASIC EDUCATION	Improve early childhood education, primary education, and secondary education, delivered in formal or non-formal settings. It includes literacy, numeracy, and other basic skills programs for youth and adults. [through American Institutes for Research]	11220.04|11320.04 	284
9286146	Belgium	I.1.a. Education, Level Unspecified		FRAIS SOCIAUX PERSONNEL CT		16010.05|16010.01 	29
12269573	Austria	I.1.d. Post-Secondary Education	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
27828429	Germany	I.1.c. Secondary Education	Integrated Experts	INTEGRATED EXPERTS	Integrated Experts	15110.01 	57
22985317	Japan	I.1.b. Basic Education		TC AGGREGATED ACTIVITIES		99810.01 	27
36666712	Switzerland	I.1.b. Basic Education	Peaceful Conflict Resolution	PEACEFUL CONFLICT RESOLUTION		15220.01 	59
31038796	Austria	I.1.d. Post-Secondary Education	Small-scale commitments aggregated by sector and recipient country	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT COUNTRY	Semiaggregierte Daten je Empf&auml;ngerland und DAC5-Sektor f&uuml;r Kleincommitments	99810.01 	220
23592138	Austria	I.1.a. Education, Level Unspecified	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
