aiddata_id	donor	sector	title	short_description	long_description	aiddata_activity_code	codeRule_characterLength
96899418	United States	I.3. Population Pol./Progr. & Reproductive Health	HIV/AIDS	HIV/AIDS	Reduce the transmission and impact of HIV/AIDS through support for prevention, care and treatment programs. [through U.S. Direct Hire]	13040.05|13040.04 	153
96877327	United States	I.3. Population Pol./Progr. & Reproductive Health	HIV/AIDS - Assistance for HIV/AIDS	HIV/AIDS - ASSISTANCE FOR HIV/AIDS	Reduce the transmission and impact of HIV/AIDS through support for prevention, care and treatment programs. - Assistance for HIV/AIDS [through John Snow International]	13040.04|13040.05 	238
96907132	United States	I.3. Population Pol./Progr. & Reproductive Health	HIV/AIDS - Assistance for HIV/AIDS	HIV/AIDS - ASSISTANCE FOR HIV/AIDS	Reduce the transmission and impact of HIV/AIDS through support for prevention, care and treatment programs. - Assistance for HIV/AIDS [through Personal Service Contractors - USAID]	13040.05|13040.04 	251
20096227	Spain	I.2.b. Basic Health	VARIOUS COOPERATION FOR DEVELOPMENT PROJECTS	VARIOUS COOPERATION FOR DEVELOPMENT PROJECTS	DIVERSOS PROYECTOS DE COOPERACI&Oacute;N PARA EL DESARROLLO	51010.05 	150
23004610	Japan	I.2.b. Basic Health		TC AGGREGATED ACTIVITIES		99810.01 	27
17381443	Germany	I.2.b. Basic Health		GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01 	35
98020102	United States	I.3. Population Pol./Progr. & Reproductive Health	HIV/AIDS	HIV/AIDS	Reduce the transmission and impact of HIV/AIDS through support for prevention, care and treatment programs. [through Personal Service Contractors - USAID]	13040.04|13040.05 	173
96983438	United States	I.3. Population Pol./Progr. & Reproductive Health	HIV/AIDS	HIV/AIDS	Reduce the transmission and impact of HIV/AIDS through support for prevention, care and treatment programs. [through USAID/M/CIO]	13040.04|13040.05 	148
97489368	United States	I.3. Population Pol./Progr. & Reproductive Health	Family Planning and Reproductive Health	FAMILY PLANNING AND REPRODUCTIVE HEALTH	Expand access to high-quality voluntary family planning (FP) services and information, and reproductive health (RH) care. This element contributes to reducing unintended pregnancy and promoting healthy reproductive behaviors of men and women, reducing abortion, and reducing maternal and child mortality and morbidity. [through Family Health International]	13030.02|13020.05|13020.01|13030.03 	437
96826787	United States	I.3. Population Pol./Progr. & Reproductive Health	Administration and Oversight - Assistance for HIV/AIDS - Assistance for HIV/AIDS	ADMINISTRATION AND OVERSIGHT - ASSISTANCE FOR HIV/AIDS - ASSISTANCE FOR HIV/AIDS	PEPFAR: Supports the following illustrative program-funded costs: salaries of US, FSN, and TCN and other staff such as PSCs, RSSAs, PASAs, CASUs working for the US Government managing, administering, and supporting programs and their program-funded benefits such as housing, travel, transportation, education allowances etc; institutional contractors that provide such staff, rent, IT services, the program-funded share of utilities, staff training costs and the cost of developing and administering	91010.01 	662
