aiddata_id	donor	sector	title	short_description	long_description	aiddata_activity_code	codeRule_characterLength
16498519	United States	I.5.a. Government & Civil Society-general	MORE EFFECTIVE GOVERNANCE AND CIVIL SOCIETY DEVELOPED	LEGAL &amp; JUDIC. DVT: MORE EFFECTIVE GOV. &amp; CIVIL SOCIETY DEVELOPED	More Effective Governance and Civil Society Developed Democracy / Governance Democracy / Governance Legal and Judicial Development 2:  Democracy and good governance strengthened 2.1:  Rule of law and respect for human rights of women as well as men strengthened	15150.07|15130.01|15140.04|15130.03|15150.05|15150.01 	390
26459406	Australia	I.5.a. Government & Civil Society-general	HUMAN RIGHTS TECHNICAL COOPERATION	HUMAN RIGHTS TECHNICAL COOPERATION	AUSTRALIA AND THE PEOPLE'S REPUBLIC OF CHINA CONDUCT A FORMAL AND REGULAR DIALOGUE ON HUMAN RIGHTS. INTEGRAL TO THE WHOLE IDEA OF THE DIALOGUE IS THAT IT SHOULD BE UNDERPINNED BY PRACTICAL ASSISTANCE. AT THE FIRST HUMAN RIGHTS DIALOGUE IN AUGUST 1997 BOTH	15150.07|15140.04|15130.03|15150.09|15150.02 	326
3005701	World Bank - International Finance Corporation (IFC)		Provide and operate a 185MW combined cycle power plant selling to the national utility to alleviate an energy shortage			23020.01|23020.06 	121
2423619	World Bank - International Bank for Reconstruction and Development (IBRD)		Oil Shale Engineering Project	(Historic)Electric Power & Other Energy ((Historic)Other power and energy conversion): 100		23020.02 	122
17955060	United Kingdom	I.5.a. Government & Civil Society-general	ANTI-CORRUPTION: ASSISTANCE TO TRANSPARENCY INTERNATIONAL - SMALL ISLAND SUPPORT: PACIFIC/CARIBBEAN LINKS	ANTI-CORRUP. PACIFIC / CARIBBEAN	Liaise with Small Island Chapters of Transparency International to identify the problems they face and develop a range of tools and expertise of use to combat corruption.  These must be appropriate and practicable for small island states	15120.04 	377
2401694	European Bank for Reconstruction & Development (EBRD)		Banca Transilvania subordinated loan		Loan to finance continued expansion and introduction of new services.	24030.02 	108
40145300	Arab Fund for Economic & Social Development (AFESD)		Oyun Mousa power Station	<br>	<div><b>Objectives</b>:<br>The project aims at increasing the electric generating capacity of the unified grid in order to meet the&nbsp;increased loads of agricultural, industrial and touristic projects in the Sinai Peninsula. The project also&nbsp;aims at re-inforcing the electric interconnection between the Egyptian and Jordanian power grids.</div><div><br><b>Description</b>:<br>The project which is expected to be completed by the beginning of the year 2000 will be located on the&nbsp;eastern seashore of the Gulf of Suez in Sinai. It consists of building a Power Station with two&nbsp;identical 300 MW dual fuel steam units, two outdoor boilers and various overhead lines, along with&nbsp;other necessary equipment. Main components of the project are:<br>1. Site preparation: includes temporary construction site equipped with necessary electricity, water&nbsp;and sewage.<br>2. Civil works and steel structures: includes soil analysis, foundations for turbines, boilers and&nbsp;various buildings, along with steel structures for turbine, control, and water pumping and treatment&nbsp;rooms.<br>3. Pylon works: includes all pylon works for the site.<br>4. Housing colony: includes various grades of housing units and a commercial centre.<br>5. Switchyard: supply and installation of GIS switchgear.<br>6. Supply of 6.3 kV electrical equipment: includes medium voltage busbar and circuit breakers.<br>7. Two main boilers, auxiliary boiler &amp; their installation: two main boilers and a 15 ton/hour&nbsp;auxiliary boiler to be used for start-up and heating of the mazout.<br>8. Steam turbines: supply and installation of two indoor type steam turbines, each rated 300 MW,&nbsp;burning natural gas as primary fuel and mazout as secondary fuel.<br>9. Tanks: supply and installation of necessary condensing water tanks, fuel tanks (mazout and solar)&nbsp;and a fire fighting tank.<br>10. Pumps, motors and cooling water piping: lor water intake, cooling water and condensing water.<br>11. Heat exchangers: includes supply of heat exchangers for water supply and oxygen extraction.<br>12. Water treatment and waste water treatment units: installation of these units is included in the&nbsp;mechanical works.<br>13. Water desalination unit: includes supply and installation of 5,000 m3/day evaporative type water<br>14.&nbsp;de-salination unit.&nbsp;</div><div>I&nbsp;Main pipes and valves: includes supply of all high voltage and high heat pipes and valves along&nbsp;with hot and cold steam lines and boiler feedwater.<br>15. Transformers: supply of 20/500 kV step-up transformers and 500/220 kV connection transformer,<br>along with auxiliary transformers and communications equipment.<br>16. Measurement and control equipment: for generation and distribution systems.<br>17. Overhead lines: a single circuit 500 kV overhead line (48 Km) connecting the power station to&nbsp;both Suez and Taba, a double circuit 220 kV loverhead line (150 Km) connecting Oyun Mousa and&nbsp;Abu Rdeiss, and a 220 kV overhead line (200 Km) connecting Oyun Mousa and Kantara.<br>18. Electrical equipment, instruments and ~heir installation: supply and install low voltage&nbsp;equipment to include 6.3 kV/380 v, 220/110 VI transformers and other equipment.<br>19. Mechanical works: includes supply and linstallation of cooling, heating, ventilation and air&nbsp;conditioning systems, piping systems, an emergency generator, along with various other systems&nbsp;included in the scope of the project.<br>20.&nbsp;Water terminal facilities: includes erectingl cooling water intake and outtake facility along with&nbsp;necessary works, and erecting receiving and loading facilities for fuel and materials.<br>21.&nbsp;Natural gas pipeline: supply and installation of natural gas supply line including a pressure&nbsp;reduction station and associated control andl monitoring equipment.<br>22. Environmental monitoring and protection equipment: to be operational before, during and&nbsp;after construction of the power station.<br>23. Comprehensive insurance.<br>24. Engineering services (Phase I): design specifications, assistance with preparation of tender&nbsp;documents, and contract award.&nbsp;<br>25. Engineering services during construction phase (Phase II): design reviews, construction&nbsp;supervision and attendance of witness testing of major equipment.</div>	23010.01|23020.03|14020.02|41010.01|23050.01|23040.03|23020.06 	4388
97003049	United States	III.1.a. Agriculture	Agricultural Enabling Environment	AGRICULTURAL ENABLING ENVIRONMENT	Support agricultural policies, laws and regulations, and institutions that: foster adoption of improved technology; promote investment in infrastructure at all levels, and enhance the natural resource base in ways that respond to the needs of men and women producers. [through Deloitte Touche Tohmatsu International]	31191.03|31120.01|31191.01 	385
32035354	Norway	I.5.b. Conflict, Peace & Security	Commission for justice and peace	COMMISSION FOR JUSTICE AND PEACE	Acitve Non-Violence trainings, implemented by the Justice and Peace comission (part of the chucrch)	15130.03|15220.01 	166
31483315	Germany	VIII.1. Emergency Response	NMNH - EMOP 10557.0 - Lieferung von 2.238 mt Sorghum und 500 mt Salz	EMERGENCY FOOD AID	NMNH - EMOP 10557.0 - Lieferung von 2.238 mt Sorghum und 500 mt Salz	72040.01 	157
