aiddata_id	donor	sector	title	short_description	long_description	aiddata_activity_code	codeRule_characterLength
7834160	Netherlands	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
6504262	Netherlands	VIII.1. Emergency Response		REFUGEE AID		72010.01 	14
6909305	Canada	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
6459865	Netherlands	VIII.1. Emergency Response		REFUGEE AID		72010.01 	14
8428479	Switzerland	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
11504133	Germany	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
7002831	France	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
6535570	Switzerland	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
5783043	Germany	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
9931539	Germany	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
6691054	European Communities (EC)	VIII.1. Emergency Response		REFUGEE RELIEF		72010.01 	17
7338597	Australia	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
8417087	Switzerland	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
10187484	Finland	VIII.1. Emergency Response		EMERGENCY RELIEF		72010.01 	19
7763412	Austria	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
7231148	Netherlands	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
18061527	Luxembourg	VIII.1. Emergency Response		EMERGENCY AID		72010.01 	16
20673431	Japan	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
26976744	France		JUSTICE	JUSTICE		15130.03|15130.01 	17
9439971	Netherlands	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
7153067	European Communities (EC)	VIII.1. Emergency Response		REFUGEE AID		72010.01 	14
20931412	United Nations Children s Fund (UNICEF)	I.6. Other Social Infrastructure & Services		GENERAL		72010.01 	10
7804261	Italy	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
13922630	Canada	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
7822821	Netherlands	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
19182924	France	VIII.1. Emergency Response	CYCLONE	CYCLONE		72010.01 	17
9430703	Netherlands	I.5.a. Government & Civil Society-general		WOMEN DEVELOPMENT		42010.01 	20
6558398	Switzerland	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
7228314	Netherlands	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
5872799	Germany	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
6280120	United States	I.5.a. Government & Civil Society-general		WOMEN DEVELOPMENT		42010.01 	20
10890980	Norway	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
7579041	France	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
11018620	Finland	XII. Unallocated / Unspecified		PROJECT PLANNING		99810.01 	19
6924622	United States	VIII.1. Emergency Response		PROJECT TITLE		99810.01 	16
7521626	United States	VI.2. Dev. Food Aid/Food Security Ass.		RICE		72040.01 	7
2431338	International Monetary Fund (IMF)		No Title			51010.03 	11
6824344	France	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
9603112	Canada	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
8054254	Netherlands	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
6848111	Netherlands	VIII.1. Emergency Response		CYCLONE RELIEF		72010.01 	17
3003301	World Bank - International Finance Corporation (IFC)		Textiles			32120.08 	11
7362629	France	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
9483840	Sweden	I.5.a. Government & Civil Society-general	ISAK	ELECTIONS		15150.06 	16
7840836	Norway	I.5.a. Government & Civil Society-general		WOMEN DEVELOPMENT		42010.01 	20
5744128	European Communities (EC)	VI.2. Dev. Food Aid/Food Security Ass.		WHEAT		72040.01 	8
16710066	Japan	VI.2. Dev. Food Aid/Food Security Ass.	FOOD AID	FOOD AID		72040.01 	19
8143921	Switzerland	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
8569063	Germany	VIII.1. Emergency Response		DROUGHT RELIEF		72010.01 	17
2432122	International Monetary Fund (IMF)		No Title			51010.03 	11
9603078	Canada	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
17714618	Norway	I.6. Other Social Infrastructure & Services	PARIS 21	PARIS 21		99810.01 	19
9464752	Norway	VIII.1. Emergency Response		HUMANITARIAN AID		72010.01 	19
6977014	European Communities (EC)	VIII.1. Emergency Response		DROUGHT RELIEF		72010.01 	17
14237019	Germany	IV.2. Other Multisector		RURAL DEVELOPMENT		43040.01 	20
