aiddata_id	donor	sector	title	short_description	long_description	aiddata_activity_code	codeRule_characterLength
17975858	Finland	VIII.1. Emergency Response	HUMANITARIAN AID / WFP	AID FOR VICTIMS OF FOOD SHORTAGE		72040.01 	57
1964821	Caribbean Development Bank (CDB)		Micro Hydro Demonstration			23030.02 	28
11729086	Sweden	I.5.a. Government & Civil Society-general	EQUALITY -98.	HUMAN RIGHTS : EQUALITY		16010.05|15150.09|15150.07 	39
13757470	Norway	I.5.a. Government & Civil Society-general		AID THROUGH NGOS: WOMEN		42010.01|92005.01 	26
1963819	European Bank for Reconstruction & Development (EBRD)		Danone MPF – Danone Ciastka		Sub-project to co-invest in regional food projects.	32120.06|32120.05 	83
13676055	Netherlands	VIII.2. Reconstruction Relief & Rehabilitation	SUPPORT TO REINTEGRATION OF DE	RECONSTRUCTION RELIEF		72010.01|73010.01 	54
13904564	Canada	I.5.a. Government & Civil Society-general	AVANT-PROJET DECENTRALISATION	AVANT-PROJET DECENTRALISATION		15140.03 	61
12849497	Sweden	I.5.a. Government & Civil Society-general	EASTERN CAPE PROV.ADM	GOVERNMENT ADMINISTRATION		15140.01 	49
2433093	Asian Development Bank (ASDB)		Third ADB-Colombo Plan Training Program			99810.01 	42
24464057	Norway	I.5.a. Government & Civil Society-general	HTI/SEMINAR IN NORWAY	HTI/SEMINAR IN NORWAY		11120.06|99810.01 	45
24460160	Norway	I.5.a. Government & Civil Society-general	CUB/CRIMINOLOGY PROJECT HAVANNA	CUB/CRIMINOLOGY PROJECT HAVANNA		15130.06|15130.04 	65
19426999	Norway	I.5.a. Government & Civil Society-general	SEMINAR OF SALW MARCH 2003	STRENGTHENING CIVIL SOCIETY		15240.01 	56
24686343	Sweden	I.5.b. Conflict, Peace & Security	OPC FRAME 2005-2006 SOUTH	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION		15220.01 	87
23030840	Japan	III.3.a. Trade Policies & Regulations		TC AGGREGATED ACTIVITIES		99810.01 	27
37284055	Spain	VIII.1. Emergency Response	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
11012924	United Kingdom	I.5.a. Government & Civil Society-general	SUPPORT TO NATIONAL STATISTICS OFFICE	SUPPORT TO NATIONAL STATISTICS OFFICE		16010.08 	77
4720773	Islamic Development Bank (ISDB)		Construction of a High School	<br>	<br>	11320.03 	40
3006320	World Bank - International Finance Corporation (IFC)		Pakistan Petroleum Ltd. (PPL)			32120.12|32220.03 	32
21996848	Portugal	I.5.a. Government & Civil Society-general	TRAINING IN SEF - FOREIGNER AND BORDER SERVICES	TRAINING IN THE ALIENS AND BORDER SERVICE		15210.01 	91
2431260	Asian Development Bank (ASDB)		Impact Evaluation Study of Bank Assistance in the Urban Development and Housing Sector			16030.02|43030.05|43030.03|16030.01|43030.04|24030.01 	89
19872397	Ireland	IV.1. General Environment Protection		AGENCY FOR PERSONAL SERVICE OVERSEAS (APSO)		92020.01 	46
13108245	Spain	VIII.1. Emergency Response	AYUDA HUMANITARIA TIMOR ORIENTAL	AIDE HUMANITAIRE		72010.01 	51
24394373	Norway	I.5.a. Government & Civil Society-general	ACTS PUNISHABLE BY INT. LAW	ACTS PUNISHABLE BY INT. LAW		15130.06 	57
18627429	New Zealand	VIII.1. Emergency Response	EMDR : TONGA : WAKA	EMERGENCY/DISTRESS RELIEF		72010.01 	47
19930691	Spain	I.5.a. Government & Civil Society-general	STRATEGY COMMUNICATION	STRATEGY COMMUNICATION	ESTRATEGIA COMUNICACI&Oacute;N.	22010.02 	78
17337601	Germany	IV.2. Other Multisector		GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01 	35
3010860	World Bank - International Finance Corporation (IFC)		Subscribe to rights issue to develop Stone Town beach facility	<br>	<br>	33210.01|25010.02|33210.02 	73
22167495	Switzerland	VIII.1. Emergency Response	SHA SALARIES	SHA SALARIES	SHA SALARIES	99810.01 	39
10064753	Norway	IV.2. Other Multisector		JUNIOR EXPERTS/ ASS. EXPERTS		99810.01 	31
19500649	Norway	VIII.1. Emergency Response	UN CAP 2004	EMERGENCY/DISTRESS RELIEF		72010.01 	39
24016252	Germany	I.2.a. Health, General	INTEGRIERTE FACHKRAFT	INTEGRATED SPECIALIST		99810.01 	45
23011190	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
24717139	Sweden	VIII.1. Emergency Response	SRK-IFRC/2005-2006	EMERGENCY/DISTRESS RELIEF		72020.01 	46
9995937	Netherlands	VIII.1. Emergency Response	VOORBEREIDING VAN EEN TERUGKEE	AID TO REFUGEES (IN RECIP. COUNTRY)		72010.01 	68
11976006	Spain	I.5.a. Government & Civil Society-general	ESCUELA JUDICIAL DE VERANO JUAN CARLOS I	ECOLE JUDICIAIRE D'ETE		15130.03|15130.04 	65
10440376	Sweden		RUS0361 CADASTRE REGISTER KARELIA	CADASTRE REGISTER KARELIA		15140.01|32210.04 	61
27968623	Germany	III.1.a. Agriculture	Integrated Experts	INTEGRATED EXPERTS	Integrated Experts	15110.01 	57
10062573	Norway	XI. Refugees in Donor Countries		REFUGEES IN NORWAY		93010.01 	21
35512166	France	VI.2. Dev. Food Aid/Food Security Ass.	Aide Alimentaire	AIDE ALIMENTAIRE		72040.01 	35
17339488	Germany	I.6. Other Social Infrastructure & Services		GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01 	35
29286367	Spain	VIII.1. Emergency Response	AYUDA HUMANITARIA (CN BOLIVAR)	HUMANITARIAN AID (CN BOLIVAR)	AYUDA HUMANITARIA (CN BOLIVAR)	72010.01 	92
26183774	United States	IX. Administrative Costs of Donors	Administrative Costs	ADMINISTRATIVE COSTS	Operating Expenses	91010.01 	61
28868870	Ireland	I.5.a. Government & Civil Society-general		GOV STRENGTHENING CIVIL SOCIETY	IN-CONTRY MICRO PROJECTS	24040.02|15150.01 	58
29692487	United States	VIII.1. Emergency Response		EMERGENCY FOOD AID	USAID Title II Food Aid.  In-Direct Support Cost	72050.01|72040.01 	69
39285801	United Nations Children s Fund (UNICEF)	I.5.a. Government & Civil Society-general	4189. Public advocacy reports	PUBLIC ADVOCACY REPORTS	Public advocacy reports	15150.01|15150.08 	78
8005350	European Communities (EC)	VIII.1. Emergency Response	EMERG AID DANCHURCHAID	EMERG AID DANCHURCHAID		72010.01 	47
17362596	Germany	III.1.a. Agriculture		GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01 	35
26951859	Sweden		DEVELOPMENT OF THE UKRAINIAN MINSITRY OF STATISTICS	DEVPT OF MINISTRY OF STATISTICS		16010.08 	85
23147261	Japan	I.5.a. Government & Civil Society-general		TC AGGREGATED ACTIVITIES		99810.01 	27
8785386	Canada	VIII.1. Emergency Response		EMERGENCY/DISTRESS RELIEF		72010.01 	28
