aiddata_id	donor	sector	title	short_description	long_description	aiddata_activity_code	codeRule_characterLength
23012618	Japan	III.1.a. Agriculture		TC AGGREGATED ACTIVITIES		99810.01 	27
96925368	United States	III.1.a. Agriculture	Agricultural Sector Productivity	AGRICULTURAL SECTOR PRODUCTIVITY	GFSI: Sustain the productivity of the agricultural sector through investments that foster increasing returns to land, labor, and capital. Targeted interventions to male and female producers provide improvements in technology and management practices, expanded access to markets and credit, increased organizational and market efficiency, and restoration and protection of resiliency in production and livelihood systems. [through University of Florida]	31120.01 	519
31062127	Austria	III.1.a. Agriculture	Small-scale commitments aggregated by sector and recipient country	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT COUNTRY	Semiaggregierte Daten je Empf&auml;ngerland und DAC5-Sektor f&uuml;r Kleincommitments	99810.01 	220
23006426	Japan	III.1.a. Agriculture		TC AGGREGATED ACTIVITIES		99810.01 	27
17393995	Germany	III.1.a. Agriculture		GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01 	35
17309995	Germany	III.1.a. Agriculture	FED. STATES CONTRIBUTIONS	FED. STATES CONTRIBUTIONS		99810.01 	53
23106402	Japan	III.1.a. Agriculture		TC AGGREGATED ACTIVITIES		99810.01 	27
23112317	Japan	III.1.a. Agriculture		TC AGGREGATED ACTIVITIES		99810.01 	27
19974794	Spain	III.1.a. Agriculture	VARIOUS COOPERATION FOR DEVELOPMENT PROJECTS	VARIOUS COOPERATION FOR DEVELOPMENT PROJECTS	DIVERSOS PROYECTOS DE COOPERACI&Oacute;N PARA EL DESARROLLO	51010.05 	150
18533773	United States	III.1.a. Agriculture	SCIENCE AND TECHNOLOGY DEVELOPED TO IMPROVE AGRICULTURAL PRO	SCIENCE AND TECHNOLOGY DEVELOPED TO IMPROVE AGRICULTURAL PRODUCTION	SCIENCE AND TECHNOLOGY DEVELOPED TO IMPROVE AGRICULTURAL PRO	31182.01 	190
98310310	Germany	III.1.a. Agriculture	preparatory activities for new projects	PREPARATORY ACTIVITIES FOR NEW PROJECTS	preparatory activities for new projects	99810.01 	120
22996448	Japan	III.1.a. Agriculture		TC AGGREGATED ACTIVITIES		99810.01 	27
97259278	Japan	III.1.a. Agriculture	TC AGGREGATED ACTIVITIES	TC AGGREGATED ACTIVITIES		99810.01 	51
9297727	Belgium	III.1.a. Agriculture		ALLOCATIONS DE VOLONTARIAT CT		99810.01 	32
20026254	Spain	III.1.a. Agriculture	VARIOUS COOPERATION FOR DEVELOPMENT PROJECTS	VARIOUS COOPERATION FOR DEVELOPMENT PROJECTS	DIVERSOS PROYECTOS DE COOPERACI&Oacute;N PARA EL DESARROLLO	51010.05 	150
23069674	Japan	III.1.a. Agriculture		TC AGGREGATED ACTIVITIES		99810.01 	27
17333711	Germany	III.1.a. Agriculture		GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01 	35
96847895	United States	III.1.a. Agriculture	Program Design and Learning	PROGRAM DESIGN AND LEARNING	GFSI: Develop and conduct needs assessments, baseline studies, targeted evaluations, special studies or other information-gathering efforts specifically for the design, monitoring and evaluation of USG-funded programs. This sub-element may also include developing and disseminating best practices and lessons learned, testing demonstration and/or pilot models, or the preparation of strategic plans and other short-term programming tasks. Note: All such activities that are carried out by partners as	91010.01|15150.03|43082.01 	557
23087148	Japan	III.1.a. Agriculture		TC AGGREGATED ACTIVITIES		99810.01 	27
23071194	Japan	III.1.a. Agriculture		TC AGGREGATED ACTIVITIES		99810.01 	27
19272564	Germany	III.1.a. Agriculture	GOVERNMENT CONTRIBUTIONS VIA NGO	GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01|15105.01 	67
96979901	United States	III.1.a. Agriculture	Agricultural Sector Productivity	AGRICULTURAL SECTOR PRODUCTIVITY	Sustain the productivity of the agricultural sector through investments that foster increasing returns to land, labor, and capital. Targeted interventions to male and female producers provide improvements in technology and management practices, expanded access to markets and credit, increased organizational and market efficiency, and restoration and protection of resiliency in production and livelihood systems. [through USAID - Mission Accounting and Control System (MACS) Migration Team]	31191.03|31120.01|31191.01 	559
37539104	Spain	III.1.a. Agriculture	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
19187776	Germany	III.1.a. Agriculture	GOVERNMENT CONTRIBUTIONS VIA NGO	GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01|15105.01 	67
23131055	Japan	III.1.a. Agriculture		TC AGGREGATED ACTIVITIES		99810.01 	27
22984830	Japan	III.1.a. Agriculture		TC AGGREGATED ACTIVITIES		99810.01 	27
50118545	Spain	III.1.a. Agriculture	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
17351455	Germany	III.1.a. Agriculture	FED. STATES CONTRIBUTIONS	FED. STATES CONTRIBUTIONS		99810.01 	53
21507708	Germany	III.1.a. Agriculture	INTEGRATED SPECIALIST	INTEGRATED SPECIALIST		99810.01 	45
96868557	United States	III.1.a. Agriculture	Agricultural Sector Productivity	AGRICULTURAL SECTOR PRODUCTIVITY	Sustain the productivity of the agricultural sector through investments that foster increasing returns to land, labor, and capital. Targeted interventions to male and female producers provide improvements in technology and management practices, expanded access to markets and credit, increased organizational and market efficiency, and restoration and protection of resiliency in production and livelihood systems. [through U.S. Government - Department of Agriculture]	31191.03|31191.01|31182.01|31120.01 	535
21483700	Germany	III.1.a. Agriculture	INTEGRATED SPECIALIST	INTEGRATED SPECIALIST		99810.01 	45
30040067	Japan	III.1.a. Agriculture		TC AGGREGATED ACTIVITIES	TC AGGREGATED ACTIVITIES	99810.01 	51
20004263	Spain	III.1.a. Agriculture	VARIOUS COOPERATION FOR DEVELOPMENT PROJECTS	VARIOUS COOPERATION FOR DEVELOPMENT PROJECTS	DIVERSOS PROYECTOS DE COOPERACI&Oacute;N PARA EL DESARROLLO	51010.05 	150
22989329	Japan	III.1.a. Agriculture		TC AGGREGATED ACTIVITIES		99810.01 	27
27504820	Austria	III.1.a. Agriculture	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
